Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links,,,,questionnaires,reports
17398,ihsn,emp,1,,,,,,Mexico,2000,,,"Encuesta Nacional de Empleo 2000, II Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 31","Mexico, 2000",,http://catalog.ihsn.org/index.php/catalog/4536,,,,http://catalog.ihsn.org/index.php/catalog/4536/download/57934,null
17405,ihsn,emp,1,,,,,,Mexico,2000,,,"Encuesta Nacional de Empleo 2000, III Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 8","Mexico, 2000",,http://catalog.ihsn.org/index.php/catalog/4537,,,,http://catalog.ihsn.org/index.php/catalog/4537/download/57941,null
17412,ihsn,emp,1,,,,,,Mexico,2000,,,"Encuesta Nacional de Empleo 2000, IV Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 40","Mexico, 2000",,http://catalog.ihsn.org/index.php/catalog/4538,,,,http://catalog.ihsn.org/index.php/catalog/4538/download/57948,null
17356,ihsn,emp,1,1,1,,1,1,Mexico,2001,1,,"Encuesta Nacional de Empleo 2001, I Trimestre ",q,nac,1,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 27","Mexico, 2001",,http://catalog.ihsn.org/index.php/catalog/4539,,,,http://catalog.ihsn.org/index.php/catalog/4539/download/57957,null
17363,ihsn,emp,1,,,,,,Mexico,2001,,,"Encuesta Nacional de Empleo 2001, II Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 50","Mexico, 2001",,http://catalog.ihsn.org/index.php/catalog/4540,,,,http://catalog.ihsn.org/index.php/catalog/4540/download/57965,null
17370,ihsn,emp,1,,,,,,Mexico,2001,,,"Encuesta Nacional de Empleo 2001, III Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 29","Mexico, 2001",,http://catalog.ihsn.org/index.php/catalog/4541,,,,http://catalog.ihsn.org/index.php/catalog/4541/download/57973,null
17377,ihsn,emp,1,,,,,,Mexico,2001,,,"Encuesta Nacional de Empleo 2001, IV Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 26","Mexico, 2001",,http://catalog.ihsn.org/index.php/catalog/4542,,,,http://catalog.ihsn.org/index.php/catalog/4542/download/57981,null
17328,ihsn,emp,1,,,,,,Mexico,2002,,,"Encuesta Nacional de Empleo 2002, I Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 43","Mexico, 2002",,http://catalog.ihsn.org/index.php/catalog/4543,,,,http://catalog.ihsn.org/index.php/catalog/4543/download/57990,null
17335,ihsn,emp,1,,,,,,Mexico,2002,,,"Encuesta Nacional de Empleo 2002, II Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 29","Mexico, 2002",,http://catalog.ihsn.org/index.php/catalog/4544,,,,http://catalog.ihsn.org/index.php/catalog/4544/download/57998,null
17342,ihsn,emp,1,,,,,,Mexico,2002,,,"Encuesta Nacional de Empleo 2002, III Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 33","Mexico, 2002",,http://catalog.ihsn.org/index.php/catalog/4545,,,,http://catalog.ihsn.org/index.php/catalog/4545/download/58006,null
