links,Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links
http://catalog.ihsn.org/index.php/catalog/3233,16739,ihsn,hs,1,1,1,1,1,1,Mali, 2003-2004,,,Enquête Légère Intégrée Auprès des Ménages 2003 ,i,af,1,1,"By: Direction Nationale de la Statistique et de l’Informatique (DNSI) - Ministère de l'Economie, de l'Industrie et du Commerce","Created on: Sep 14, 2013 Last modified: Sep 14, 2013 Views: 125 Citations: 7 ","Mali, 2003-2004",,http://catalog.ihsn.org/index.php/catalog/3233
http://catalog.ihsn.org/index.php/catalog/436,16781,ihsn,c,,,,,,,Mali,1987,,,General Census of Population and Housing 1987 - IPUMS Subset ,,,,,By: Bureau Central de Recensement,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 50","Mali, 1987",,http://catalog.ihsn.org/index.php/catalog/436
http://catalog.ihsn.org/index.php/catalog/448,16760,ihsn,c,,,,,,,Mali,1998,,,General Census of Population and Housing 1998 - IPUMS Subset ,,,,,By: Bureau Central de Recensement - Direction Nationale de la Statistique et de l'Informatique,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 39","Mali, 1998",,http://catalog.ihsn.org/index.php/catalog/448
http://catalog.ihsn.org/index.php/catalog/2441,16774,ihsn,dhs,,,,,,,Mali,1987,,,Enquête Démographique et de Santé 1987 ,,,,,"By: Institut du Sahel, Centre d'Etudes et de Recherche sur la Population pour le Développement (CERPOD)","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 621 Citations: 162 ","Mali, 1987",,http://catalog.ihsn.org/index.php/catalog/2441
http://catalog.ihsn.org/index.php/catalog/2442,16767,ihsn,dhs,,,,,,,Mali, 1995-1996,,,Enquête Démographique et de Santé 1995-1996 ,,,,,"By: Cellule de Planification et Statistique - Ministère de la Santé, de la Solidarité et des Personnes Âgées","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 784 Citations: 317 ","Mali, 1995-1996",,http://catalog.ihsn.org/index.php/catalog/2442
http://catalog.ihsn.org/index.php/catalog/2443,16753,ihsn,dhs,,,,,,,Mali,2001,,,Enquête Démographique et de Santé 2001 ,,,,,"By: Cellule de Planification et Statistique - Ministère de la Santé, Direction de la Statistique e de l'Informatique - Ministère de l'Économie et des Finances","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 1029 Citations: 286 ","Mali, 2001",,http://catalog.ihsn.org/index.php/catalog/2443
http://catalog.ihsn.org/index.php/catalog/2444,16711,ihsn,dhs,,,,,,,Mali,2006,,,Enquête Démographique et de Santé 2006 ,,,,,"By: Direction Nationale de la Statistique et de L'Informatique (DNSI) - Ministère du Plan et de l’Aménagement du Territoire , Cellule de Planification et de Statistique - Ministère de la Santé{BR","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 747 Citations: 186 ","Mali, 2006",,http://catalog.ihsn.org/index.php/catalog/2444
http://catalog.ihsn.org/index.php/catalog/5128,16673,ihsn,dhs,,,,,,,Mali, 2012-2013,,,Enquête Démographique et de Santé 2012-2013 ,,,,,By: Cellule de Planification et de Statistiques (CPS/SSDSPF),,"Mali, 2012-2013",,http://catalog.ihsn.org/index.php/catalog/5128
http://catalog.ihsn.org/index.php/catalog/2206,16746,ihsn,,,,,,,,Mali,2003,,,World Health Survey 2003 ,,,,,By: World Health Organization (WHO),"Created on: May 02, 2012 Last modified: Dec 12, 2013 Views: 164 Citations: 1 ","Mali, 2003",,http://catalog.ihsn.org/index.php/catalog/2206
http://catalog.ihsn.org/index.php/catalog/4144,16725,ihsn,,,,,,,,Mali,2005,,,Analyse de la Securité Alimentaire et de la Vulnerabilité 2005 ,,,,,"By: Programme Alimentaire Mondiale - Nations Unies, Fonds des Nations Unies pour l'Enfance - Nations Unies","Created on: Feb 19, 2014 Last modified: Feb 19, 2014 Views: 4675","Mali, 2005",,http://catalog.ihsn.org/index.php/catalog/4144
