links,Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links,questionnaire,report
http://catalog.ihsn.org/index.php/catalog/313,5512,ihsn,c,,,,,,,Argentina,1970,,,"National Population, Family, and Housing Census 1970 - IPUMS Subset ",,,,,By: Instituto Nacional de Estadísticas y Censos,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2007","Argentina, 1970",,http://catalog.ihsn.org/index.php/catalog/313,"http://catalog.ihsn.org/index.php/catalog/313/download/64024""",null
http://catalog.ihsn.org/index.php/catalog/323,5505,ihsn,c,,,,,,,Argentina,1980,,,National Population and Housing Census 1980 - IPUMS Subset ,,,,,By: Instituto Nacional de Estadísticas y Censos,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2016","Argentina, 1980",,http://catalog.ihsn.org/index.php/catalog/323,"http://catalog.ihsn.org/index.php/catalog/323/download/64039""","http://catalog.ihsn.org/index.php/catalog/323/download/64033"""
http://catalog.ihsn.org/index.php/catalog/330,5498,ihsn,c,,,,,,,Argentina,1991,,,National Population and Housing Census 1991 - IPUMS Subset ,,,,,By: Instituto Nacional de Estadísticas y Censos,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2283","Argentina, 1991",,http://catalog.ihsn.org/index.php/catalog/330,"http://catalog.ihsn.org/index.php/catalog/330/download/64040""",null
http://catalog.ihsn.org/index.php/catalog/340,5484,ihsn,c,,,,,,,Argentina,2001,,,"Censo Nacional de Población, Familias y Viviendas 2001 ",,,,,By: Instituto Nacional de Estadísticas y Censos,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 315","Argentina, 2001",,http://catalog.ihsn.org/index.php/catalog/340,"http://catalog.ihsn.org/index.php/catalog/340/download/30269""",null
http://catalog.ihsn.org/index.php/catalog/338,5477,ihsn,c,,,,,,,Argentina, 2001-2002,,,"National Population, Households and Dwellings Census 2001 - IPUMS Subset ",,,,,By: Instituto Nacional de Estadísticas y Censos,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2597","Argentina, 2001-2002",,http://catalog.ihsn.org/index.php/catalog/338,"http://catalog.ihsn.org/index.php/catalog/338/download/64072""",null
http://catalog.ihsn.org/index.php/catalog/3829,5491,ihsn,,,,,,,,Argentina, 2000-2001,,,Multi Country Study Survey 2000-2001 ,,,,,By: World Health Organization (WHO),"Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 183","Argentina, 2000-2001",,http://catalog.ihsn.org/index.php/catalog/3829,http://catalog.ihsn.org/index.php/catalog/3829/download/53151,http://catalog.ihsn.org/index.php/catalog/3829/download/53149
http://catalog.ihsn.org/index.php/catalog/395,5470,ihsn,,,,,,,,Argentina,2006,,,Enterprise Survey 2006 ,,,,,By: World Bank,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2705","Argentina, 2006",,http://catalog.ihsn.org/index.php/catalog/395,"http://catalog.ihsn.org/index.php/catalog/395/download/30691""","http://catalog.ihsn.org/index.php/catalog/395/download/30696"""
http://catalog.ihsn.org/index.php/catalog/3674,5463,ihsn,,,,,,,,Argentina,2007,,,Global School-based Student Health Survey 2007 ,,,,,"By: Ministry of Health, World Health Organization, Centers for Disease Control and Prevention","Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 188","Argentina, 2007",,http://catalog.ihsn.org/index.php/catalog/3674,http://catalog.ihsn.org/index.php/catalog/3674/download/51813,"/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
http://catalog.ihsn.org/index.php/catalog/397,5456,ihsn,,,,,,,,Argentina,2010,,,Informal Survey 2010 ,,,,,By: World Bank,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 1999","Argentina, 2010",,http://catalog.ihsn.org/index.php/catalog/397,"http://catalog.ihsn.org/index.php/catalog/397/download/30707""",null
http://catalog.ihsn.org/index.php/catalog/396,5442,ihsn,,,,,,,,Argentina, 2010-2011,,,Enterprise Survey 2010 ,,,,,By: World Bank,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 2127","Argentina, 2010-2011",,http://catalog.ihsn.org/index.php/catalog/396,"http://catalog.ihsn.org/index.php/catalog/396/download/30700""",null
http://catalog.ihsn.org/index.php/catalog/2650,5449,ihsn,,,,,,,,Argentina,2011,,,Global Financial Inclusion (Global Findex) Database 2011 ,,,,,"By: Development Research Group, Finance and Private Sector Development Unit - World Bank","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 995","Argentina, 2011",,http://catalog.ihsn.org/index.php/catalog/2650,"/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x",null
http://catalog.ihsn.org/index.php/catalog/4418,5435,ihsn,,,,,,,,Argentina,2012,,,World Bank Country Survey 2012 ,,,,,By: Public Opinion Research Group - The World Bank Group,"Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 172","Argentina, 2012",,http://catalog.ihsn.org/index.php/catalog/4418,http://catalog.ihsn.org/index.php/catalog/4418/download/57129,http://catalog.ihsn.org/index.php/catalog/4418/download/57130
http://catalog.ihsn.org/index.php/catalog/275,5651,ihsn,lfs,1,1,1,1,1,1,Armenia,2006,,,Labor Force Survey 2006 ,b,e,1,1,By: National Statistical Service,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 280","Armenia, 2006",,http://catalog.ihsn.org/index.php/catalog/275,null,null
http://catalog.ihsn.org/index.php/catalog/4284,5604,ihsn,lfs,1,1,1,1,,,Armenia,2008,,,Labour Force Survey 2008 ,b,e,1,,By: National Statistical Service of the Republic of Armenia,"Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 97","Armenia, 2008",,http://catalog.ihsn.org/index.php/catalog/4284,null,null
http://catalog.ihsn.org/index.php/catalog/265,5721,ihsn,c,,,,,,,Armenia,2001,,,Population and Housing Census 2001 ,,,,,By: National Statistical Service,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 228","Armenia, 2001",,http://catalog.ihsn.org/index.php/catalog/265,"http://catalog.ihsn.org/index.php/catalog/265/download/29652""",null
http://catalog.ihsn.org/index.php/catalog/280,5728,ihsn,c,,,,,,,Armenia,2001,,,Population and Housing Census 2001 - IPUMS Subset ,,,,,By: National Statistical Service,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 1990","Armenia, 2001",,http://catalog.ihsn.org/index.php/catalog/280,"http://catalog.ihsn.org/index.php/catalog/280/download/64081""",null
http://catalog.ihsn.org/index.php/catalog/4318,5555,ihsn,c,,,,,,,Armenia,2011,,,Population and Housing Census 2011 ,,,,,By: National Statistical Service of the Republic of Armenia,"Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 94","Armenia, 2011",,http://catalog.ihsn.org/index.php/catalog/4318,http://catalog.ihsn.org/index.php/catalog/4318/download/56456,http://catalog.ihsn.org/index.php/catalog/4318/download/56457
http://catalog.ihsn.org/index.php/catalog/263,5735,ihsn,dhs,,,,,,,Armenia,2000,,,Demographic and Health Survey 2000 ,,,,,"By: National Statistical Service, Ministry of Health","Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 834 Citations: 141 ","Armenia, 2000",,http://catalog.ihsn.org/index.php/catalog/263,"http://catalog.ihsn.org/index.php/catalog/263/download/29648""","/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
http://catalog.ihsn.org/index.php/catalog/270,5665,ihsn,dhs,,,,,,,Armenia,2005,,,Demographic and Health Survey 2005 ,,,,,"By: National Statistical Service (NSS), Ministry of Health (MOH)","Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 1028 Citations: 85 ","Armenia, 2005",,http://catalog.ihsn.org/index.php/catalog/270,"http://catalog.ihsn.org/index.php/catalog/270/download/29655""","http://catalog.ihsn.org/index.php/catalog/270/download/29660"""
http://catalog.ihsn.org/index.php/catalog/2494,5562,ihsn,dhs,,,,,,,Armenia,2010,,,Demographic and Health Survey 2010 ,,,,,"By: National Statistical Service of the Republic of Armenia, Ministry of Health of the Republic of Armenia","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 577 Citations: 2 ","Armenia, 2010",,http://catalog.ihsn.org/index.php/catalog/2494,http://catalog.ihsn.org/index.php/catalog/2494/download/38207,"/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x"
http://catalog.ihsn.org/index.php/catalog/261,5749,ihsn,hbs,,,,,,,Armenia,1996,,,Household Budget Survey 1996 ,,,,,By: State Department of Statistics (SDS),"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 12314 Citations: 11 ","Armenia, 1996",,http://catalog.ihsn.org/index.php/catalog/261,null,null
http://catalog.ihsn.org/index.php/catalog/3608,5742,ihsn,,,,,,,,Armenia, 1998-1999,,,Integrated Living Conditions Survey 1998-1999 ,,,,,By: National Statistical Service of the Republic of Armenia,"Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 253 Citations: 4 ","Armenia, 1998-1999",,http://catalog.ihsn.org/index.php/catalog/3608,null,null
